"id","name","quantity","price1","price2","price3","price4","price5","price6"
"1","随便果","99","42","128","90","75","60","42"
"2","四季代餐","1","42","128","90","75","60","42"
"3","益生菌","36","100","178","158","135","120","100"
"4","养顾问膳食咖啡","44","100","178","158","135","120","100"
"5","养顾问生酮咖啡","26","100","178","158","135","120","100"
"6","HHA补水面膜","41","42","128","90","75","60","42"
"7","HHA洗发水","5","42","128","90","75","60","42"
"8","HHA护发素","5","42","128","90","75","60","42"
"9","鎏金焕彩面霜","3","86","256","180","150","120","86"
"10","鎏金焕彩眼霜","22","86","256","180","150","120","86"
"11","鎏金焕彩精华液","21","86","256","180","150","120","86"
"12","牡蛎肽活力片","15","150","288","238","210","180","150"
"13","益生菌","15","100","178","158","135","120","100"
"14","香体乳（白）","6","42","128","90","75","60","42"
"15","沐浴露（白）","0","42","128","90","75","60","42"
"16","沐浴露（蓝）","0","42","128","90","75","60","42"
"17","香体乳（蓝）","4","42","128","90","75","60","42"
"18","燕窝青春冻","20","150","288","238","210","180","150"
